Race,FPR_F,CI_FPR_F,FPR_M,CI_FPR_M
White,0.121,0,0.105,0
Black,0.212,0,0.162,0
Hisp,0.193,0,0.157,0
Other,0.109,0,0.081,0
Asian,0.109,0,0.072,0
American,0.099,0,0.105,0
